declaration_id,state,governor,eo_number,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
NY-KATHYHOCHUL-EO-52.5,NY,Kathy Hochul,52.5,extension,Extension of the declaration of a disaster in the state of New York due to federal actions related to vaccine access.,2026-01-23,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-525-extending-declaration-disaster-state-new-york-due-federal-actions-related,https://www.governor.ny.gov/sites/default/files/2026-01/eo_52.5.pdf
NY-KATHYHOCHUL-EO-52.4,NY,Kathy Hochul,52.4,extension,"Extending Executive Order No. 52 which declared a State Disaster Emergency in the State of New York due to Federal actions related to vaccine access until November 30, 2025.",2025-12-24,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-524-extending-declaration-disaster-state-new-york-due-federal-actions-related,https://www.governor.ny.gov/sites/default/files/2025-12/eo_52.4.pdf
NY-KATHYHOCHUL-EO-52.3,NY,Kathy Hochul,52.3,extension,"Extends Executive Order No. 52 which declared a State Disaster Emergency in the State of New York due to Federal actions related to vaccine access until December 25, 2025.",2025-11-26,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-523-extending-declaration-disaster-state-new-york-due-federal-actions-related,https://www.governor.ny.gov/sites/default/files/2025-11/eo_52.3.pdf
NY-KATHYHOCHUL-EO-52.2,NY,Kathy Hochul,52.2,extension,"Extending Executive Order No. 52 which declared a State Disaster Emergency in the State of New York due to Federal actions related to vaccine access until November 30, 2025.",2025-10-31,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-522-extending-declaration-disaster-state-new-york-due-federal-actions-related,https://www.governor.ny.gov/sites/default/files/2025-10/eo_52.2.pdf
NY-KATHYHOCHUL-EO-52.1,NY,Kathy Hochul,52.1,extension,Extending the Declaration of a Disaster in the State of New York Due to Federal Actions Related to Vaccine Access,2025-10-03,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-521-extending-declaration-disaster-state-new-york-due-federal-actions-related,https://www.governor.ny.gov/sites/default/files/2025-10/eo_52.1.pdf
NY-KATHYHOCHUL-EO-52,NY,Kathy Hochul,52,declaration,Executive Order 52 declares a disaster in the State of New York due to Federal actions related to vaccine access.,2025-09-05,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-52-declaring-disaster-state-new-york-due-federal-actions-related-vaccine-access,https://www.governor.ny.gov/sites/default/files/2025-09/EO_52.pdf
NY-KATHYHOCHUL-EO-51,NY,Kathy Hochul,51,declaration,"Executive Order 51 appoints a special prosecutor to investigate and, if warranted, prosecute matters relating to the death of Anna Wilson and the injury of Brianna Dillon in a motor vehicle incident on May 11, 2024, in Suffolk County.",2025-08-08,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-51-appointing-special-prosecutor-investigate-and-if-warranted-prosecute-matters,https://www.governor.ny.gov/sites/default/files/2025-08/eo_51.pdf
NY-KATHYHOCHUL-EO-50,NY,Kathy Hochul,50,declaration,"Executive Order 50 declares a disaster emergency for hazardous conditions as a result of severe weather effective through August 30, 2025.",2025-07-31,,True,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-50-declaring-disaster-emergency-counties-bronx-delaware-dutchess-kings-nassau,https://www.governor.ny.gov/sites/default/files/2025-07/eo_50.pdf
NY-KATHYHOCHUL-EO-49,NY,Kathy Hochul,49,declaration,"Executive Order 49 declares a State Disaster Emergency in response to a series of severe storms, effective June 22nd, 2025.",2025-06-22,,True,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-49-declaring-disaster-emergency-state-new-york,https://www.governor.ny.gov/sites/default/files/2025-06/EO_49_0.pdf
NY-KATHYHOCHUL-EO-48,NY,Kathy Hochul,48,declaration,Executive Order 48 declares a Disaster in Suffolk County in response to wildfires.,2025-03-10,,True,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-48-declaring-disaster-county-suffolk,https://www.governor.ny.gov/sites/default/files/2025-03/Executive-Order-48.pdf
