eo_number,title,year,hazard_guess,is_original_weather_declaration,source_url
21-09,MODIFICATION OF COUNTY-BASED MEASURES AND RESTRICTIONS BASED ON THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE,2021,,False,https://www.in.gov/dA/f2c954b186/Executive-Order-21-09-Modification-of-County-Based-Restrictions.pdf?language_id=1
21-10,ACCOMMODATIONS FOR PREGNANT STATE EMPLOYEES,2021,,False,https://www.in.gov/dA/a566eeb4a0/Executive-Order-21-10-Pregnancy-Accommodations.pdf?language_id=1
21-11,FOURTEENTH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2021,,False,https://www.in.gov/dA/ee0703b721/Executive-Order-21-11-Fourtenth-Renewal-of-Emergency-Declaration.pdf?language_id=1
21-12,CONTINUATION OF MODIFIED COUNTY~BASED MEASURES AND RESTRICTIONS BASED ON THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID~19),2021,,False,https://www.in.gov/dA/ac8287bd61/Executive-Order-21-12-Continuation-of-Modified-County-Based-Restrictions.pdf?language_id=1
21-13,RECISSION OF DIRECTIVES AND RESTRICTIONS IMPOSED TO ADDRESS THE CORONAVIRUS (COVID~19) EMERGENCY,2021,,False,https://www.in.gov/dA/bd4c25cfa7/Executive-Order-21-13-Recission-of-Prior-Directives1.pdf?language_id=1
21-14,FIFTEENTH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2021,,False,https://www.in.gov/dA/2e1852535c/Executive-Order-21-14-Fiftenth-Renewal-of-Emergency-Declaration.pdf?language_id=1
21-15,CONTINUATION OF HEALTH AND WELFARE~BASED PROVISIONS TO ADDRESS THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE,2021,,False,https://www.in.gov/dA/af56ac2175/Executive-Order-21-15-Continuation-of-Health-and-Welfare-Provsions.pdf?language_id=1
21-16,SIXTEENTH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2021,,False,https://www.in.gov/dA/9b30f34399/Executive-Order-21-16-Sixtenth-Renewal-of-Emergency-Declaration.pdf?language_id=1
21-17,CONTINUATION OF LIMITED PROVISIONS TO ADDRESS THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID~19),2021,,False,https://www.in.gov/dA/56a72a6db8/Executive-Order-21-17-Continuation-of-Limited-Health-and-Welfare-Provsions.pdf?language_id=1
21-18,SEVENTEENTH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID19 OUTBREAK,2021,,False,https://www.in.gov/dA/6e4334e572/Executive-Order-21-18-Seventeenth-Renewal-of-Emergency-Declaration.pdf?language_id=1
