source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
NJ-FLORIO-EO-11,NJ-FLORIO-EO-167,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-177,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-183,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-187,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-188,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-198,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-201,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-212,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-22,amends,amended Executive Order No. 22,document_text,medium
NJ-FLORIO-EO-14,NJ-FLORIO-EO-17,continues,"Continues Executive Order Nos. 17, 87, 168 and 225",description,medium
NJ-FLORIO-EO-14,NJ-FLORIO-EO-87,continues,"Continues Executive Order Nos. 17, 87, 168 and 225",description,medium
NJ-FLORIO-EO-14,NJ-FLORIO-EO-168,continues,"Continues Executive Order Nos. 17, 87, 168 and 225",description,medium
NJ-FLORIO-EO-14,NJ-FLORIO-EO-225,continues,"Continues Executive Order Nos. 17, 87, 168 and 225",description,medium
NJ-FLORIO-EO-24,NJ-FLORIO-EO-106,extends_duration,Extends Executive Order #106,document_text,medium
NJ-FLORIO-EO-28,NJ-FLORIO-EO-126,terminates,"Rescinds Executive 
              Order #126",document_text,medium
NJ-FLORIO-EO-35,NJ-FLORIO-EO-208,extends_duration,extended EO #208,description,medium
NJ-FLORIO-EO-44,NJ-FLORIO-EO-37,terminates,terminated by Order No. 44,document_text,medium
NJ-FLORIO-EO-42,NJ-FLORIO-EO-129,extends_duration,extends EO #129,document_text,medium
NJ-FLORIO-EO-48,NJ-FLORIO-EO-46,terminates,terminated by EO #48,document_text,medium
NJ-FLORIO-EO-51,NJ-FLORIO-EO-50,extends_duration,Extends Executive Order No. 50,description,medium
NJ-FLORIO-EO-52,NJ-FLORIO-EO-106,extends_duration,"Extends 
              Executive Order #106",document_text,medium
NJ-FLORIO-EO-53,NJ-FLORIO-EO-51,continues,"Continues 
              Executive orders #51, 110, 173 and 217",document_text,medium
NJ-FLORIO-EO-53,NJ-FLORIO-EO-110,continues,"Continues 
              Executive orders #51, 110, 173 and 217",document_text,medium
NJ-FLORIO-EO-53,NJ-FLORIO-EO-173,continues,"Continues 
              Executive orders #51, 110, 173 and 217",document_text,medium
NJ-FLORIO-EO-53,NJ-FLORIO-EO-217,continues,"Continues 
              Executive orders #51, 110, 173 and 217",document_text,medium
