declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
OR-EO-24-30,OR,Tina Kotek,24-30,emergency_declaration,declaration,Determination of a State of Drought Emergency in Harney County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-24-30.pdf,https://www.oregon.gov/gov/eo/eo-24-30.pdf
OR-EO-24-29,OR,Tina Kotek,24-29,emergency_declaration,declaration,Determination of a State of Drought Emergency in Wallowa County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-24-29.pdf,https://www.oregon.gov/gov/eo/eo-24-29.pdf
OR-EO-24-28,OR,Tina Kotek,24-28,executive_order,administrative,Directing Coordinated and Transparent Implementation of Oregon's Commitments to the Columbia Basin Restoration Initiative and the Resilient Columbia Basin Agreement,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-24-28.pdf,https://www.oregon.gov/gov/eo/eo-24-28.pdf
OR-EO-24-27,OR,Tina Kotek,24-27,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Service Fire in Wheeler,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-24-27.pdf,https://www.oregon.gov/gov/eo/eo-24-27.pdf
OR-EO-24-26,OR,Tina Kotek,24-26,emergency_declaration,declaration,Determination of a State of Drought Emergency in Lake County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-24-26.pdf,https://www.oregon.gov/gov/eo/eo-24-26.pdf
OR-EO-24-25,OR,Tina Kotek,24-25,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Shoe Fly Fire in Wheeler County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-24-25.pdf,https://www.oregon.gov/gov/eo/eo-24-25.pdf
OR-EO-24-24,OR,Tina Kotek,24-24,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Rail Ridge Fire in Crook and Grant Counties,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-24-24.pdf,https://www.oregon.gov/gov/eo/eo-24-24.pdf
OR-EO-24-23,OR,Tina Kotek,24-23,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Copperfield Fire in Klamath County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-24-23.pdf,https://www.oregon.gov/gov/eo/eo-24-23.pdf
OR-EO-24-22,OR,Tina Kotek,24-22,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Dixon Fire in Douglas County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-24-22.pdf,https://www.oregon.gov/gov/eo/eo-24-22.pdf
OR-EO-24-21,OR,Tina Kotek,24-21,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Town Gulch Fire in Baker County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-24-21.pdf,https://www.oregon.gov/gov/eo/eo-24-21.pdf
