declaration_id,date_signed,event_description,decision,reason,date_evidence,archive_record_url,listing_url,fetch_error
ID-EO-2025-01,,Executive Order 2025-01: Gone with the Lava Ridge Wind Project Act,review,Weather reference does not establish a disaster declaration,,https://gov.idaho.gov//wp-content/uploads/2025/01/eo-2025-01.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2025-02,,"Executive Order 2025-02: The Strategic Permitting, Efficiency, and Economic Development (SPEED) Act",exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov//wp-content/uploads/2025/01/eo-2025-02.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2025-03,,Executive Order 2025-03: Border Security and Immigration Enforcement Act,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov//wp-content/uploads/2025/02/eo-2025-03.pdf,https://gov.idaho.gov/executive-orders/,
ID-EO-2025-04,,Executive Order 2025-04: Make Forests Healthy Again Act,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov//wp-content/uploads/2025/04/eo-2025-04.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2025-05,,Executive Order 2025-05: The Idaho Act,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov//wp-content/uploads/2025/08/eo-2025-05.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2025-06,,Executive Ord-er 2025-06: Creation of the Idaho Advanced Nuclear Energy Task Force,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://gov.idaho.gov//wp-content/uploads/2025/09/eo-2025-06.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2025-07,,Executive Order 2025-07: Deferred Compensation Program for Employees of the State of Idaho; Repealing and replacing EO 2021-09,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov//wp-content/uploads/2025/10/eo-2025-07.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2025-08,,Executive Order 2025-08: Making Rural Idaho Healthy Again Act,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov//wp-content/uploads/2025/10/eo-2025-08.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2026-01,,Executive Order 2026-01 (repealing and replacing Executive Order 2025-05),exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov/wp-content/uploads/2026/01/eo-2026-01.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2026-02,,RECOMMISSIONING THE IDAHO GOVERNOR'S TROPHY,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://gov.idaho.gov/wp-content/uploads/2026/02/eo-2026-02.pdf,https://gov.idaho.gov/executive-orders/,
ID-EO-2026-03,,State Capitol Boise DECLARING IDAHO'S INTENT TO OPT-IN TO THE FEDERAL SCHOLARSHIP TAX CREDIT PROGRAM,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov/wp-content/uploads/2026/02/eo-2026-03.pdf,https://gov.idaho.gov/executive-orders/,
ID-EO-2026-04,,"State Capitol Boise PROMOTING TRANPARENT, TIMELY, AND GOOD-FAITH INFORMATION SHARING BETWEEN EXECUTIVE AND LEGISLATIVE BRANCHES",exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov/wp-content/uploads/2026/05/eo-2026-04_.pdf,https://gov.idaho.gov/executive-orders/,
ID-EO-2026-05,,State Capitol Boise CREATION OF THE STATE WORKFORCE PELL COORDINATING COUNCIL,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov/wp-content/uploads/2026/06/eo-2026-05.pdf,https://gov.idaho.gov/executive-orders/,
ID-EO-2026-06,,State Capitol Boise CELEBRATINGAMERICA250 AND HONORING THE ENDURING SPIRIT OF LIBERTY THROUGH ADDITIONAL LEAVE FOR STATE EMPLOYEES,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov/wp-content/uploads/2026/06/eo-2026-06.pdf,https://gov.idaho.gov/executive-orders/,
ID-PROC-028DA6827CC2AF7E,,Governor signs proactive emergency declaration to further prevent coronavirus spread in Idaho,exclude,Source identifies COVID/public-health emergency,,https://gov.idaho.gov/pressrelease/governor-signs-proactive-emergency-declaration-to-further-prevent-coronavirus-spread-in-idaho/,https://gov.idaho.gov/page/2/?s=disaster&per_page=10,
ID-PROC-2077DFE6B6CA0A0D,,"Gov. Little comments on passing of Maj. Gen. Darrell Manning, issues half-staff flag order",exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov/pressrelease/gov-little-comments-on-passing-of-maj-gen-darrell-manning-issues-half-staff-flag-order/,https://gov.idaho.gov/?s=disaster,
ID-PROC-3185B3FDB90506EB,,"Gov. Little extends emergency declarations, waives more regulations amid COVID-19",exclude,Source identifies COVID/public-health emergency,,https://gov.idaho.gov/pressrelease/gov-little-extends-emergency-declarations-waives-more-regulations-amid-covid-19/,https://gov.idaho.gov/?s=disaster,
ID-PROC-47ED55C441ECAD95,,State of Idaho to assist California wildfire efforts,review,California wildfire mutual aid under EMAC; no dated Idaho emergency declaration independently confirmed. Excluded from join.,,https://gov.idaho.gov/pressrelease/state-of-idaho-to-assist-california-wildfire-efforts/,https://gov.idaho.gov/page/2/?s=disaster&per_page=10,
ID-PROC-5EDA5F20B0B4E374,,Idaho small businesses impacted by coronavirus can now access federal disaster loans,exclude,Source identifies COVID/public-health emergency,,https://gov.idaho.gov/pressrelease/idaho-small-businesses-impacted-by-coronavirus-can-now-access-federal-disaster-loans/,https://gov.idaho.gov/?s=disaster,
ID-PROC-6B8281C78751C774,,COVID-19 vaccine distribution planning underway in Idaho,exclude,Source identifies COVID/public-health emergency,,https://gov.idaho.gov/pressrelease/26181/,https://gov.idaho.gov/?s=disaster,
ID-PROC-8EA836606E1DBF2C,,Gov. Little establishes timeline for Idaho National Guard COVID-19 Task Force draw down,exclude,Source identifies COVID/public-health emergency,,https://gov.idaho.gov/pressrelease/gov-little-establishes-timeline-for-idaho-national-guard-covid-19-task-force-draw-down/,https://gov.idaho.gov/?s=disaster,
ID-PROC-9FCC4040CB8EA93D,,"Governor Little signs new executive orders, proclamation to further position Idaho to overcome coronavirus challenge",exclude,Source identifies COVID/public-health emergency,,https://gov.idaho.gov/pressrelease/governor-little-signs-new-executive-orders-proclamation-to-further-position-idaho-to-overcome-coronavirus-challenge/,https://gov.idaho.gov/?s=disaster,
ID-PROC-A42FF23EEE316313,,Gov. Little authorizes Idaho National Guard resources to support ICE,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov/pressrelease/gov-little-authorizes-idaho-national-guard-resources-to-support-ice/,https://gov.idaho.gov/?s=disaster,
ID-PROC-B1AA91ED5C7E1804,,All four living former Idaho Governors support Gov. Little’s veto of emergency powers bills,exclude,Source identifies COVID/public-health emergency,,https://gov.idaho.gov/pressrelease/all-four-living-former-idaho-governors-support-gov-littles-veto-of-emergency-powers-bills/,https://gov.idaho.gov/?s=disaster,
ID-PROC-C3107E9C96A0ED8B,,Public health disaster emergency declaration to end April 15,exclude,Source identifies COVID/public-health emergency,,https://gov.idaho.gov/pressrelease/public-health-disaster-emergency-declaration-to-end-april-15/,https://gov.idaho.gov/?s=disaster,
ID-PROC-C44A2B69521D0AAE,,OPINION: Expanding research and innovation in eastern Idaho benefits the whole state,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov/pressrelease/opinion-expanding-research-and-innovation-in-eastern-idaho-benefits-the-whole-state/,https://gov.idaho.gov/page/2/?s=disaster&per_page=10,
ID-PROC-E14B2AE6883E0813,,Idaho wants to hear from small businesses impacted by coronavirus,exclude,Source identifies COVID/public-health emergency,,https://gov.idaho.gov/pressrelease/idaho-wants-to-hear-from-small-businesses-impacted-by-coronavirus/,https://gov.idaho.gov/page/2/?s=disaster&per_page=10,
ID-PROC-2B4E7E772307BE26,2007-10-05,Order Declaring Drought Emergency - Lewis County,review,IDWR Date Declared differs from extracted Governor APPROVED date; signature image must be reconciled before joining.,"IDWR Date Declared column: October 5, 2007",https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2007/20071005-Drought-Order-2007-Lewis-County.pdf,https://idwr.idaho.gov/legal-matters/drought-declarations/,
ID-EO-2021-07,2021-05-27,TERMINATING MASK MANDATES BASED ON THE COVID-19 EMERGENCY,exclude,Source identifies COVID/public-health emergency,"; PDF/legal signature: issued on May 27, 2021",https://adminrules.idaho.gov/rules/2021%20Archive/ExOs/2021-07_ExOr_21-6.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-PROC-086319592E879196,2021-07-01,Order Declaring Drought Emergency - Bear Lake County,review,IDWR Date Declared differs from extracted Governor APPROVED date; signature image must be reconciled before joining.,"IDWR Date Declared column: July 1, 2021",https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2021/20210701-Drought-Order-2021-Bear-Lake-County.pdf,https://idwr.idaho.gov/legal-matters/drought-declarations/,
ID-PROC-3CEFF7C108F00A56,2021-07-01,Order Declaring Drought Emergency - Teton County,review,IDWR Date Declared differs from extracted Governor APPROVED date; signature image must be reconciled before joining.,"IDWR Date Declared column: July 1, 2021",https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2021/20210701-Drought-Order-2021-Teton-County.pdf,https://idwr.idaho.gov/legal-matters/drought-declarations/,
