declaration_id,state,governor,eo_number,action_type,event_description,date_signed,end_date,weather_related,document_format,archive_record_url
MA-EO-401,MA,Paul Cellucci,401,administrative,The Governor's Task Force on Hate Crimes,1997-12-05,2017-11-06,False,html,https://archives.lib.state.ma.us/entities/journalfile/99209aeb-890c-4793-ab0d-e82004f08152
MA-EO-400,MA,Paul Cellucci,400,administrative,(Massachusetts National and Community Service Commission),1997-08-24,,False,html,https://archives.lib.state.ma.us/entities/journalfile/3880e108-c690-4c6c-b1ef-618b2104515a
MA-EO-399,MA,Paul Cellucci,399,administrative,Prohibiting Prisoners From Raising Money for Political Purposes,1997-08-12,,False,html,https://archives.lib.state.ma.us/entities/journalfile/4b298661-7b1c-4dff-b397-016e083d7c10
MA-EO-398,MA,Paul Cellucci,398,administrative,Establishing a Policy of Zero Tolerance for Domestic Violence,1997-08-01,2007-10-31,False,html,https://archives.lib.state.ma.us/entities/journalfile/395b8da5-3e0d-45a6-971d-354cfbf3134c
MA-EO-397,MA,William Weld,397,administrative,Implementation of the Developmental Disabilities Act of 1996. P.l. 104-183,1997-06-19,2002-08-13,False,html,https://archives.lib.state.ma.us/entities/journalfile/915c7c89-4141-4839-8894-766404c62112
MA-EO-396,MA,William Weld,396,administrative,Governor's Commission on Mental Retardation,1997-05-13,,False,html,https://archives.lib.state.ma.us/entities/journalfile/6f4fd3bd-b4ef-4013-895e-5c6350055f44
MA-EO-395,MA,William Weld,395,administrative,Establishing the Governor's Special Advisory Commission on Managed Health Care in the Commonwealth,1997-04-07,,False,html,https://archives.lib.state.ma.us/entities/journalfile/c14d2ca8-c0d2-46f1-b771-9daa2d1dd2cb
MA-EO-394,MA,William Weld,394,administrative,Massachusetts Neighborhood Crime Watch Commission,1997-02-21,,False,html,https://archives.lib.state.ma.us/entities/journalfile/8041772d-0a19-4f8c-b658-674f2a8788a9
MA-EO-393,MA,William Weld,393,administrative,Establishing an Educational Management Accountability Board,1997-02-20,,False,html,https://archives.lib.state.ma.us/entities/journalfile/eae35ddf-441c-4e4d-8670-a983e77aa770
MA-EO-382,MA,William Weld,382,administrative,Executive Order (new series) No. 382,1996-12-27,,False,html,https://archives.lib.state.ma.us/entities/journalfile/40596757-5008-44c0-a7da-8daaa1a1343f
