declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
MS-EO-1561,MS,Tate Reeves,1561,executive_order,administrative,Executive Order 1561 – Military Star School Program,2022-02-23,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1561-Military-Star-School-Program.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/1009
MS-ACTION-2021-10-11-governor-tate-reeves-extends-mississippi-s-state-of-emerge,MS,Tate Reeves,,emergency_declaration,extension,Governor Tate Reeves Extends Mississippi’s State of Emergency for an Additional 30 Days,2021-10-11,,false,mississippi_governor_2020_present,html,https://mailchi.mp/903dc29c91f6/governor-tate-reeves-soe-extention-1052727,https://governorreeves.ms.gov/wp-json/wp/v2/posts/978
MS-ACTION-2021-09-10-governor-tate-reeves-extends-mississippi-s-state-of-emerge,MS,Tate Reeves,,emergency_declaration,extension,Governor Tate Reeves Extends Mississippi’s State of Emergency for an Additional 30 Days,2021-09-10,,false,mississippi_governor_2020_present,html,https://mailchi.mp/db4024ab491a/governor-tate-reeves-soe-extention,https://governorreeves.ms.gov/wp-json/wp/v2/posts/965
MS-ACTION-2021-08-29-governor-reeves-issues-state-of-emergency-ahead-of-hurrica,MS,Tate Reeves,,emergency_declaration,declaration,Governor Reeves Issues State of Emergency Ahead of Hurricane Ida,2021-08-29,,true,mississippi_governor_2020_present,html,https://governorreeves.ms.gov/governor-reeves-issues-state-of-emergency-ahead-of-hurricane-ida/,https://governorreeves.ms.gov/wp-json/wp/v2/posts/955
MS-EO-1525,MS,Tate Reeves,1525,executive_order,administrative,Executive Order 1525 – Safe Recovery,2020-10-01,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1525-Safe-Recovery.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/799
MS-EO-1522,MS,Tate Reeves,1522,executive_order,administrative,Executive Order 1522 Safe Return,2020-09-16,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1522-Safe-Return.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/683
MS-ACTION-2020-09-13-governor-tate-reeves-declares-state-of-emergency-in-prepar,MS,Tate Reeves,,emergency_declaration,declaration,Governor Tate Reeves Declares State of Emergency in Preparation for Tropical Storm Sally,2020-09-13,,true,mississippi_governor_2020_present,html,https://mailchi.mp/1cd9df9f9a92/governor-tate-reeves-declares-state-of-emergency-for-impending-gulf-storms-1052186?e=950aca5a2d,https://governorreeves.ms.gov/wp-json/wp/v2/posts/875
MS-EO-1521,MS,Tate Reeves,1521,executive_order,administrative,Executive Order 1521 – Flags Lowered Patriot Day and A Day of Prayer and Remembrance,2020-09-10,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1521-Flags-Lowered-Patriot-Day-and-A-Day-of-Prayer-and-Remembrance.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/664
MS-EO-1520,MS,Tate Reeves,1520,emergency_declaration,extension,Executive Order 1520 – Extended Safe Return,2020-09-01,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1520-Extended-Safe-Return.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/650
MS-ACTION-2020-08-22-governor-tate-reeves-declares-state-of-emergency-for-impen,MS,Tate Reeves,,emergency_declaration,declaration,Governor Tate Reeves Declares State of Emergency for Impending Gulf Storms,2020-08-22,,true,mississippi_governor_2020_present,html,https://mailchi.mp/cb3906738f17/governor-tate-reeves-declares-state-of-emergency-for-impending-gulf-storms,https://governorreeves.ms.gov/wp-json/wp/v2/posts/876
MS-EO-1519,MS,Tate Reeves,1519,executive_order,administrative,Executive Order 1519 – college stadiums,2020-08-21,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1519-college-stadiums.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/641
MS-EO-1518,MS,Tate Reeves,1518,emergency_declaration,extension,Executive Order 1518 further extend Safe Return inc attendance at K12 extracurricular,2020-08-18,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1518-further-extend-Safe-Return-inc-attendance-at-K12-extracurricular.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/637
MS-EO-1517,MS,Tate Reeves,1517,executive_order,administrative,Executive Order 1517 Schools,2020-08-06,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1517-Schools.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/596
MS-EO-1516,MS,Tate Reeves,1516,executive_order,administrative,Executive Order 1516 Statewide Masks,2020-08-06,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1516-Statewide-Masks.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/595
MS-EO-1515,MS,Tate Reeves,1515,emergency_declaration,extension,Executive Order 1515 add and extend county specific,2020-07-31,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1515-add-and-extend-county-specific.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/587
MS-EO-1514,MS,Tate Reeves,1514,emergency_declaration,extension,Executive Order 1514 Extend Safe Return,2020-07-31,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1514-Extend-Safe-Return.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/588
MS-EO-1513,MS,Tate Reeves,1513,executive_order,administrative,Executive Order 1513 lowering flag for Deputy Dylan Pickle,2020-07-29,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1513-lowering-flag-for-Deputy-Dylan-Pickle.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/571
MS-EO-1512,MS,Tate Reeves,1512,executive_order,administrative,Executive Order 1512 add to county specific,2020-07-27,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1512-add-to-county-specific.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/545
