declaration_id,eo_number,title,date_signed,action_type,related_order,hazard_category,archive_record_url
MI-EO-2020-73,2020-73,"Executive Order 2020-73: Temporary relief from certain credentialing requirements for motor carriers transporting essential supplies, equipment, and persons - RESCINDED",2020-05-06,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/06/executive-order-2020-73
MI-EO-2020-74,2020-74,"Executive Order 2020-74: Encouraging the use of electronic signatures and remote notarization, witnessing, and visitation during the COVID-19 pandemic - RESCINDED",2020-05-06,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/06/executive-order-2020-74
MI-EO-2020-75,2020-75,Executive Order 2020-75: Temporary authorization of remote participation in public meetings and hearings and temporary relief from monthly meeting requirements for school boards - RESCINDED,2020-05-07,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/07/executive-order-2020-75
MI-EO-2020-76,2020-76,Executive Order 2020-76: Temporary expansions in unemployment eligibility and cost-sharing - RESCINDED,2020-05-07,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/07/executive-order-2020-76
MI-EO-2020-77,2020-77,Executive Order 2020-77: Temporary requirement to suspend certain activities that are not necessary to sustain or protect life - RESCINDED,2020-05-07,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/07/executive-order-2020-77
MI-EO-2020-78,2020-78,"Executive Order 2020-78: Temporary extension of the validity of driver licenses, state identification cards, and certain vehicle registrations - RESCINDED",2020-05-11,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/11/executive-order-2020-78
MI-EO-2020-79,2020-79,Executive Order 2020-79: Temporary suspension of youth work permit application requirements - RESCINDED,2020-05-12,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/12/executive-order-2020-79
MI-EO-2020-80,2020-80,Executive Order 2020-80: Enhanced authorization of remote means for carrying out state administrative procedures - RESCINDED,2020-05-12,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/12/executive-order-2020-80
MI-EO-2020-81,2020-81,Executive Order 2020-81: Enhanced support for deliveries - RESCINDED,2020-05-14,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/14/executive-order-2020-81
MI-EO-2020-82,2020-82,Executive Order 2020-82: Temporary enhancements to operational capacity and efficiency of health care facilities - RESCINDED,2020-05-14,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/14/executive-order-2020-82
MI-EO-2020-83,2020-83,Executive Order 2020-83: Expanding child care access during the COVID-19 pandemic - RESCINDED,2020-05-14,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/14/executive-order-2020-83
MI-EO-2020-84,2020-84,Executive Order 2020-84: Enhanced protections for residents and staff of long-term care facilities during the COVID-19 pandemic - RESCINDED,2020-05-14,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/14/executive-order-2020-84
MI-EO-2020-85,2020-85,Executive Order 2020-85: Temporary prohibition against entry to premises for the purpose of removing or excluding a tenant or mobile home owner from their home - RESCINDED,2020-05-18,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/18/executive-order-2020-85
MI-EO-2020-86,2020-86,Executive Order 2020-86: Encouraging the use of telehealth services during the COVID-19 emergency - RESCINDED,2020-05-18,amendment,2020-4,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/18/executive-order-2020-86
MI-EO-2020-88,2020-88,Executive Order 2020-88: COVID-19 Return to School Advisory Council,2020-05-18,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/18/executive-order-2020-88
MI-EO-2020-89,2020-89,Executive Order 2020-89: Enhanced restrictions on price gouging - RESCINDED,2020-05-18,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/18/executive-order-2020-89
MI-EO-2020-90,2020-90,Executive Order 2020-90: Resumption of laboratory research activities - RESCINDED,2020-05-18,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/18/executive-order-2020-90
MI-EO-2020-91,2020-91,Executive Order 2020-91: Safeguards to protect Michigan's workers from COVID-19 - RESCINDED,2020-05-18,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/18/executive-order-2020-91
MI-EO-2020-92,2020-92,Executive Order 2020-92: Temporary requirement to suspend certain activities that are not necessary to sustain or protect life - RESCINDED,2020-05-18,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/18/executive-order-2020-92
MI-EO-2020-94,2020-94,Executive Order 2020-94: Declaration of State of Emergency - RESCINDED,2020-05-19,declaration,,flood,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/19/executive-order-2020-94
MI-EO-2020-93,2020-93,"Executive Order 2020-93: Temporary enhancements to operational capacity, flexibility, and efficiency of pharmacies - RESCINDED",2020-05-20,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/20/executive-order-2020-93
MI-EO-2020-95,2020-95,Executive Order 2020-95: Enhanced protections for residents and staff of long-term care facilities during the COVID-19 pandemic - RESCINDED,2020-05-21,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/21/executive-order-2020-95
MI-EO-2020-96,2020-96,Executive Order 2020-96: Temporary requirement to suspend certain activities that are not necessary to sustain or protect life - RESCINDED,2020-05-21,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/21/executive-order-2020-96
MI-EO-2020-97,2020-97,Executive Order 2020-97: Safeguards to protect Michigan's workers from COVID-19 - RESCINDED,2020-05-21,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/21/executive-order-2020-97
MI-EO-2020-98,2020-98,Executive Order 2020-98: Declaration of State of Emergency - RESCINDED,2020-05-22,amendment,2020-94,flood,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/22/executive-order-2020-98
MI-EO-2020-100,2020-100,Executive Order 2020-100: Amending certain previously issued executive orders to clarify their duration - RESCINDED,2020-05-26,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/26/executive-order-2020-100
MI-EO-2020-101,2020-101,Executive Order 2020-101: Extending the expiration date for watercraft registration - RESCINDED,2020-05-26,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/26/executive-order-2020-101
MI-EO-2020-102,2020-102,Executive Order 2020-102: Temporary Relief from Standard Vapor Pressure Restrictions on Gasoline Sales - RESCINDED,2020-05-26,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/26/executive-order-2020-102
MI-EO-2020-103,2020-103,Executive Order 2020-103: Providing alternative notice of public hearings under Michigan's tax abatement statutes - RESCINDED,2020-05-26,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/26/executive-order-2020-103
MI-EO-2020-104,2020-104,Executive Order 2020-104: Increasing COVID-19 testing by expanding the scope of practice for certain professionals and encouraging the establishment of community testing locations - RESCINDED,2020-05-26,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/26/executive-order-2020-104
MI-EO-2020-105,2020-105,Executive Order 2020-105: Declaration of State of Emergency - RESCINDED,2020-05-26,amendment,2020-94,flood,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/26/executive-order-2020-105
