eo_number,date_filed,title,url
2020-09,20200324,COVID-19: Extending EO 2020-06,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-09.PDF
2020-10,20200326,COVID-19: Temporary Suspensions,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-10.PDF
2020-11,20200402,COVID-19: Statewide Disaster Declaration,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-11.PDF
2020-12,20200406,COVID-19: Extending EO 2020-08,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-12.PDF
2020-13,20200406,COVID-19: Minnehaha & Lincoln Counties,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-13.PDF
2020-14,20200407,COVID-19: Teacher Evaluations/Public Meeting Physical Locations/Sanctions for Parole Violations,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-14.PDF
2020-15,20200409,COVID-19: State of Emergency Continuation,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-15.PDF
2020-16,20200415,COVID-19: Regulatory Requirements,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-16.PDF
2020-17,20200420,COVID-19: Pork Operations,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-17.PDF
2020-18,20200424,COVID-19: Extension and Restatement of EO 2020-13,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-18.PDF
2020-19,20200424,COVID-19: Regulatory Requirements,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-19.PDF
2020-20,20200428,COVID-19: Back to Normal Plan/Rescind EO 2020-12,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-20.PDF
2020-21,20200430,COVID-19: Temporary Suspensions,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-21.PDF
2020-22,20200501,COVID-19: Reopening of State Government,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-22.PDF
2020-23,20200511,COVID-19: Alcoholic Beverage License and Deadwood,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-23.PDF
2020-24,20200518,COVID-19: Hospital / Funeral Regulations,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-24.PDF
2020-25,20200526,COVID-19: Licensing,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-25.PDF
2020-26,20200526,COVID-19: State of Emergency Extension,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-26.PDF
2020-27,20200528,Day County Emergency Declaration,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-27.PDF
2020-28,20200626,COVID-19: Temporary Suspension of Instruction Permits & Restricted Minor's Permit Regulations,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-28.PDF
2020-29,20200626,South Dakota Commission on Child Support,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-29.PDF
2020-30,20200706,COVID-19: Rescind EO 2020-26,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-30.PDF
2020-31,20200821,COVID-19: Opportunity Scholarship Eligibility,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-31.PDF
2020-32,20200901,2020 Census,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-32.PDF
2020-33,20201209,COVID-19: Extensions,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-33.PDF
2020-34,20201218,COVID-19: Extensions,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-34 - .PDF
